#            Stage 1b
#Time;x(km);y(km);z(km);alt(km);relVel;dwnrng(km);Q(kPa);Fuel(tons);dV_tot;dV_grav;dv_drag;throttle;accel;aoa;aov;pitch;Cd;x(km);y(km);z(km);yaw;c_thrust;incl
-20.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-19.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-18.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-17.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-16.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-15.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-14.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-13.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-12.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
-11.00;914.144;-5524.344;3053.973;   0.013;   0.0;0.000;0.000;409.500;  0.000;  0.000;  0.000;0.0000;1.00;0.00;90.00;28.61;0.200;914.144;-5524.344;3053.973;90.00;0.000;28.608
