#             Stage 2
#Time;x(km);y(km);z(km);alt(km);relVel;dwnrng(km);Q(kPa);Fuel(tons);dV_tot;dV_grav;dv_drag;throttle;accel;aoa;aov;pitch;Cd;x(km);y(km);z(km);yaw;c_thrust;incl
187.10;1065.984;-5568.488;3108.966;  87.933;2636.3;141.503;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;1.66;17.17;18.82;0.200;1141.856;-5553.427;3108.966;5.55;0.000;28.738
188.10;1068.552;-5568.569;3109.550;  88.707;2633.5;143.987;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;1.85;17.00;18.85;0.200;1144.830;-5553.389;3109.550;5.54;0.000;28.741
189.10;1071.119;-5568.641;3110.129;  89.472;2630.8;146.471;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;2.05;16.83;18.88;0.200;1147.803;-5553.343;3110.129;5.52;0.000;28.743
190.10;1073.684;-5568.706;3110.703;  90.230;2628.0;148.954;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;2.24;16.66;18.90;0.200;1150.773;-5553.289;3110.703;5.51;0.000;28.745
191.10;1076.247;-5568.763;3111.273;  90.979;2625.3;151.436;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;2.44;16.49;18.93;0.200;1153.742;-5553.226;3111.273;5.50;0.000;28.747
192.10;1078.809;-5568.813;3111.838;  91.720;2622.6;153.918;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;2.63;16.32;18.95;0.200;1156.709;-5553.155;3111.838;5.48;0.000;28.749
193.10;1081.369;-5568.854;3112.399;  92.453;2620.0;156.399;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;2.83;16.15;18.98;0.200;1159.675;-5553.077;3112.399;5.47;0.000;28.751
194.10;1083.928;-5568.888;3112.955;  93.177;2617.3;158.879;0.000;103.500;3989.172;  0.000;  0.000;0.0000;0.00;3.02;15.98;19.01;0.200;1162.639;-5552.990;3112.955;5.45;0.000;28.753
195.10;1086.485;-5568.914;3113.506;  93.894;2615.0;161.358;0.000;103.484;3989.675;  0.000;  0.000;0.6000;0.51;3.29;15.81;19.11;0.200;1165.601;-5552.894;3113.506;5.44;0.000;28.755
196.10;1089.043;-5568.932;3114.053;  94.603;2617.5;163.840;0.000;103.319;3994.727;  0.000;  0.000;0.6130;0.53;4.44;15.65;20.09;0.200;1168.564;-5552.791;3114.053;5.43;0.000;28.757
197.10;1091.605;-5568.943;3114.598;  95.306;2620.6;166.326;0.000;103.132;4000.462;  0.000;  0.000;0.7430;0.64;5.84;15.49;21.33;0.200;1171.531;-5552.680;3114.598;5.43;0.000;28.760
198.10;1094.171;-5568.947;3115.139;  96.002;2624.8;168.817;0.000;102.910;4007.304;  0.000;  0.000;0.8730;0.75;7.24;15.34;22.57;0.200;1174.502;-5552.561;3115.139;5.43;0.000;28.762
199.10;1096.743;-5568.944;3115.678;  96.694;2630.1;171.314;0.000;102.653;4015.252;  0.000;  0.000;0.9900;0.85;8.63;15.19;23.82;0.200;1177.478;-5552.435;3115.678;5.43;0.000;28.764
200.10;1099.321;-5568.934;3116.214;  97.381;2635.9;173.818;0.000;102.381;4023.640;  0.000;  0.000;0.9900;0.86;9.95;15.05;25.00;0.200;1180.460;-5552.302;3116.214;5.43;0.000;28.766
201.10;1101.905;-5568.918;3116.748;  98.063;2641.7;176.329;0.000;102.110;4032.048;  0.000;  0.000;0.9900;0.86;10.22;14.91;25.13;0.200;1183.449;-5552.161;3116.748;5.36;0.000;28.768
202.10;1104.496;-5568.895;3117.280;  98.740;2647.6;178.847;0.000;101.839;4040.478;  0.000;  0.000;0.9900;0.86;10.38;14.78;25.16;0.200;1186.444;-5552.014;3117.280;5.34;0.000;28.770
203.10;1107.093;-5568.865;3117.809;  99.413;2653.5;181.371;0.000;101.568;4048.928;  0.000;  0.000;0.9900;0.86;10.54;14.64;25.19;0.200;1189.445;-5551.860;3117.809;5.33;0.000;28.772
204.10;1109.697;-5568.829;3118.336; 100.082;2659.4;183.903;0.000;101.297;4057.399;  0.000;  0.000;0.9900;0.87;10.70;14.51;25.21;0.200;1192.453;-5551.698;3118.336;5.31;0.000;28.774
205.10;1112.306;-5568.787;3118.862; 100.746;2665.4;186.441;0.000;101.025;4065.892;  0.000;  0.000;0.9900;0.87;10.86;14.38;25.24;0.200;1195.466;-5551.530;3118.862;5.30;0.000;28.776
206.10;1114.923;-5568.738;3119.384; 101.405;2671.4;188.987;0.000;100.754;4074.405;  0.000;  0.000;0.9900;0.87;11.02;14.24;25.26;0.200;1198.487;-5551.354;3119.384;5.28;0.000;28.778
207.10;1117.546;-5568.683;3119.905; 102.060;2677.5;191.539;0.000;100.483;4082.940;  0.000;  0.000;0.9900;0.87;11.18;14.11;25.29;0.200;1201.513;-5551.172;3119.905;5.27;0.000;28.780
208.10;1120.175;-5568.621;3120.424; 102.711;2683.6;194.099;0.000;100.212;4091.496;  0.000;  0.000;0.9900;0.87;11.34;13.98;25.32;0.200;1204.546;-5550.983;3120.424;5.26;0.000;28.782
209.10;1122.811;-5568.553;3120.940; 103.357;2689.7;196.665;0.000;99.941;4100.074;  0.000;  0.000;0.9900;0.88;11.49;13.85;25.34;0.200;1207.585;-5550.787;3120.940;5.24;0.000;28.784
210.10;1125.453;-5568.478;3121.454; 103.998;2695.9;199.239;0.000;99.670;4108.674;  0.000;  0.000;0.9900;0.88;11.65;13.73;25.37;0.200;1210.631;-5550.583;3121.454;5.23;0.000;28.787
211.10;1128.102;-5568.397;3121.966; 104.636;2702.1;201.819;0.000;99.398;4117.295;  0.000;  0.000;0.9900;0.88;11.80;13.60;25.40;0.200;1213.683;-5550.373;3121.966;5.21;0.000;28.789
212.10;1130.757;-5568.310;3122.476; 105.269;2708.3;204.407;0.000;99.127;4125.938;  0.000;  0.000;0.9900;0.88;11.95;13.47;25.43;0.200;1216.741;-5550.156;3122.476;5.20;0.000;28.791
213.10;1133.419;-5568.216;3122.984; 105.897;2714.6;207.002;0.000;98.856;4134.603;  0.000;  0.000;0.9900;0.89;12.11;13.35;25.45;0.200;1219.806;-5549.932;3122.984;5.18;0.000;28.793
214.10;1136.088;-5568.115;3123.489; 106.522;2720.9;209.604;0.000;98.585;4143.290;  0.000;  0.000;0.9900;0.89;12.26;13.22;25.48;0.200;1222.878;-5549.701;3123.489;5.17;0.000;28.795
215.10;1138.763;-5568.008;3123.993; 107.142;2727.3;212.213;0.000;98.314;4152.000;  0.000;  0.000;0.9900;0.89;12.41;13.10;25.51;0.200;1225.956;-5549.463;3123.993;5.15;0.000;28.797
216.10;1141.445;-5567.895;3124.494; 107.758;2733.7;214.829;0.000;98.042;4160.731;  0.000;  0.000;0.9900;0.89;12.56;12.97;25.53;0.200;1229.040;-5549.219;3124.494;5.14;0.000;28.799
217.10;1144.134;-5567.776;3124.993; 108.369;2740.1;217.452;0.000;97.771;4169.485;  0.000;  0.000;0.9900;0.89;12.71;12.85;25.56;0.200;1232.131;-5548.967;3124.993;5.12;0.000;28.801
218.10;1146.829;-5567.650;3125.490; 108.976;2746.5;220.083;0.000;97.500;4178.262;  0.000;  0.000;0.9900;0.90;12.86;12.73;25.59;0.200;1235.228;-5548.708;3125.490;5.11;0.000;28.803
219.10;1149.531;-5567.518;3125.985; 109.579;2753.1;222.721;0.000;97.229;4187.061;  0.000;  0.000;0.9900;0.90;13.00;12.61;25.62;0.200;1238.332;-5548.443;3125.985;5.09;0.000;28.805
220.10;1152.239;-5567.379;3126.478; 110.178;2759.6;225.366;0.000;96.958;4195.883;  0.000;  0.000;0.9900;0.90;13.15;12.49;25.64;0.200;1241.443;-5548.170;3126.478;5.08;0.000;28.807
